Hash,Message,Parent Hashes,Is Merge Commit,Modified Files
2322018875b218cc156f50d30d865a86d4a68a13,quick rgb-should-be-numpy-array bug fix,['c7389e008d3dc79f61e8270ff18758210b7e6a9e'],False,['mobject.py']
7ae5a0eccb13713b3439d9c0a0b79bcfc96b05be,"Slightly faster sort_points method, and bug fix in fade",['7f45044bafb27c94ae1b3f900014b3fbdc612e5f'],False,['mobject.py']
68160140233b8f7ebf00aa2894ea57984c504a90,Bug fix to bug fix on Mobject.fade method,['8f8eeea870c2f780cc93950a6de6bd6a168fcfb4'],False,['mobject.py']
69be4328ce0a90a25758a7d158b8bc4ee973ce29,Small bug in how displayer had been refactored,['c16abfd6c80268e2656a95d566afb522aa6659ba'],False,['displayer.py']
ff5075ce7d3db6381fb0e7e44f90af4b8ac47746,Couple scene bug fixes,['e45e20b5b0fc03cf60c2985d59a5b2883c714af1'],False,['scene.py']
468303c30912618ceb84cafc9462c37da55b73fe,tuplify bug fix,['75c88375d9b09be6b3021b3b87ba424c51c74fe2'],False,['helpers.py']
a9f620e2508cf9de4f5a405449673d4d50804d80,"Better interpolation, bezier subpaths, and color bugfix",['c685211484b50a900b2d97bca6f1ecf631ab1ab4'],False,"['camera.py', 'helpers.py', 'image_mobject.py', 'mobject.py', 'point_cloud_mobject.py', 'tex_mobject.py', 'vectorized_mobject.py']"
ac137eb68393752637f63019c43976c3a5312a00,A few bug fixes to the very buggy SVGMobject,['fd5dc238394a658bb001759991ce677efcdc81b6'],False,"['borsuk.py', 'chapter1.py', 'mobject.py', 'svg_mobject.py', 'objects.py']"
ab2b6c2ba4927a0478a216f76f0f7789cb39e29e,"3d stuff is still rudimentary, but slightly less buggy now",['c2eb3606844136a9f73dfe0bf98f84dd6ae02605'],False,['three_dimensions.py']
8f4b1de8f119825a1b48f8aab6774fe2ad1d5eee,"add support of transform=""matrix(...)"" and fix bugs win lowercase commands",['109d2efb477fb5c1412fa6e707110cdf595e1fd0'],False,['svg_mobject.py']
6ab2d5f3b26e077764f77f860c80dad3530f52d6,Some bug fixes associated with new copy method,['ff0c122d4d0aba1e4acaa81bffdc8ebe37a851dc'],False,"['tex_mobject.py', 'vectorized_mobject.py']"
f47d7a03f391eb3bad4deb3a81dd105c4edff08f,Debugged problem with Scene.remove,['dc435e5aa3bc1270f9152c54b8034a054c26a7e0'],False,['scene.py']
cce24ce93a545ccd90919a956f695d111460ba0d,Fixed Riemann rectangle gap bug,['e27e7f539fc3a1c1f249e17831300ea1abe4dc14'],False,"['chapter8.py', 'graph_scene.py']"
f6340f42d7efe06c5436adfbca2723c1737b3022,Fixed bug associated with empty input strings,['c4b4acc69b6640acb36b8b4beaee04f3034670ed'],False,['tex_mobject.py']
1c4da1c4e7e91698485cc40c2469c6d101f80fad,Arrow normal direction bug fix,['151914c1a2e445f697d8423c86f0fe7b4ef45884'],False,"['bell.py', 'geometry.py', 'waves.py']"
36cb325e424fb0b85c4104115e0988febc2aabfc,Small bugfix on text_template.tex,['389f8c9c01205707b5c193cb9483262f327d6414'],False,['text_template.tex']
cc1767718c9a1fa15d4001f35fe6e34d2e1218c6,NumberLine.apply_function bug fix,['dad04e89c91658d8c923701e570a7239e81df3ac'],False,['number_line.py']
de0e156444f3a102801682ae2d13ed4a4f1d71a5,Slight alterations and bug fixes,['0ba007bf21867f2bfc63352470196de39f95da80'],False,['part1.py']
3d9d3be1425b98dd943bea8b49f5f6a4f8af21a3,A few scene bug fixes,['de0e156444f3a102801682ae2d13ed4a4f1d71a5'],False,['scene.py']
fae819695a80888b9c06b42ec3cae5b77155d6e3,There's some (as of yet unresolved) bug associated with fill colors when they become negative during an animation,['24d6c7bbef76131dc5cf5a85a6b1624447ccfcbc'],False,['camera.py']
76ea80230d6137e4fe0852eda0e83b5489c7af84,Arrow bug fix,['6625e4ee16784d199df2c42a6d89e060a7ccb18a'],False,['geometry.py']
3696ce748d55b2c5394aec2521f475c088787089,Fixed zoomed_scene bug,['d8c4021eec9fda8e4d500e4c77d8bf7851e14596'],False,['zoomed_scene.py']
6de931968e292724c1907be3fa523d81c9326da0,Small bug fix,['f23fd5444da80408e4e22998ce3d5ccd610277c6'],False,['geometry.py']
5d9eb8d5a0b3ef62aaeb17a53d90d43f16f36c64,Fixed get_merged_array bug,['ec1afdbb835890ed909268ffa6417e948fb78069'],False,"['mobject.py', 'point_cloud_mobject.py']"
543d8cb92d42f560665f43423b850272c4e7c8ef,Fixed ChangingDecimal bug based on new scene+mobject structure,['024a9dd3d48659fe565709d35e8fa7fe7c8c47b7'],False,['numerals.py']
38a1c654fc9e814a45b7f1dcb0c5fd2a3ee21670,Slight bug fix for behavior when scene adds mobject followed by a group containing that mobject,['1332ec9ed1d59955c6b6e4b2fb4af77fcc7f8346'],False,['scene.py']
00713b7971b5056b53fe9dc6b4d7857e527bcad3,Fixed bug associated with continual_animations being removed accidentally,['b41e1fc562ab82033cbe0dd1e48d7afdcf91f033'],False,['scene.py']
eb149bef2ea512d95770065cc7f1dc6f04d01674,Fixed the bug with negative 0 displaying,['0c30d31dfffff4f6e56c925d26fa120b6a323f32'],False,['numerals.py']
